goos: darwin
goarch: arm64
pkg: github.com/aegis/internal/dataplane/router
cpu: Apple M4
BenchmarkLookupHighFanout/routes=2048-10       	 3215680	      1109 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=2048-10       	 3347126	      1085 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  731772	      4997 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  730236	      4972 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  724374	      5001 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  723906	      5313 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  721971	      5055 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  725883	      4957 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  719451	      4972 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  733908	      4993 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  724233	      4972 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=4096-10       	  728992	      4955 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	28153657	       123.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	28295740	       121.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	28603597	       122.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	28900525	       121.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	29555163	       121.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	29692108	       120.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	29371560	       122.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	32108490	       122.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	29628390	       121.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=16-10               	30257005	       121.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	27114720	       132.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	27415568	       136.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	26823601	       132.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	26930686	       134.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	26158417	       136.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	25950684	       135.6 ns/op	       0 B/op	       0 allocs/op
